customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00029,Female,1,Yes,No,23,No,No,DSL,No,No,Yes,No,Yes,No internet service,One year,No,Electronic check,89.07,2095.31,No
CUST00030,Male,1,Yes,Yes,34,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),104.28,3562.55,No
CUST00031,Male,1,No,Yes,55,No,No,DSL,No internet service,No,No internet service,No,No internet service,No internet service,Two year,Yes,Mailed check,68.15,3852.09,No
CUST00032,Female,1,Yes,Yes,29,No,Yes,No,No,No,Yes,Yes,No internet service,Yes,One year,No,Bank transfer (automatic),73.14,2110.94,No
CUST00033,Female,0,Yes,No,56,Yes,No phone service,No,Yes,Yes,No internet service,Yes,No internet service,Yes,One year,No,Credit card (automatic),50.27,2773.38,No
CUST00034,Female,0,No,Yes,46,Yes,No,DSL,No,No internet service,No,No internet service,No,No internet service,Two year,No,Mailed check,69.46,3150.83,No
CUST00035,Male,1,Yes,Yes,34,No,No,DSL,No,Yes,No,No,No internet service,No internet service,Two year,Yes,Electronic check,33.2,1166.3,No
CUST00036,Female,1,Yes,No,18,Yes,No,Fiber optic,No internet service,No,No,Yes,No,Yes,One year,No,Bank transfer (automatic),115.58,2070.95,No
CUST00037,Male,0,No,No,7,No,No phone service,DSL,No,Yes,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Credit card (automatic),100.04,655.96,Yes
CUST00038,Male,0,Yes,No,25,No,No,DSL,Yes,Yes,Yes,No internet service,Yes,Yes,One year,No,Mailed check,86.8,2192.07,No
CUST00039,Male,0,Yes,Yes,70,No,Yes,DSL,No internet service,No,Yes,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),73.82,5202.86,No
CUST00040,Male,1,Yes,No,29,Yes,Yes,Fiber optic,Yes,No,Yes,No internet service,No,Yes,Month-to-month,No,Mailed check,99.22,2890.95,Yes
CUST00041,Male,0,No,No,6,No,No,DSL,No internet service,Yes,Yes,No internet service,No,Yes,Month-to-month,Yes,Electronic check,69.48,461.86,Yes
CUST00042,Female,0,Yes,Yes,66,No,No,No,No internet service,No,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),50.0,3304.4,No
CUST00043,Female,0,Yes,No,64,Yes,No phone service,Fiber optic,No,No,No internet service,No internet service,No internet service,No,Two year,No,Electronic check,36.04,2276.88,No
CUST00044,Female,0,No,Yes,35,Yes,No phone service,Fiber optic,Yes,No,No,No,Yes,No internet service,Two year,Yes,Bank transfer (automatic),84.76,3007.17,No
CUST00045,Female,0,Yes,Yes,24,Yes,No phone service,No,No internet service,No,Yes,Yes,No internet service,Yes,One year,No,Bank transfer (automatic),112.94,2666.06,No
CUST00046,Female,0,No,No,36,Yes,No,No,No,No,No,No internet service,No,No,Two year,Yes,Credit card (automatic),35.36,1216.52,No
CUST00047,Male,0,No,No,0,No,No phone service,No,No internet service,No,No internet service,Yes,No internet service,Yes,Two year,No,Mailed check,38.0,57.8,No
CUST00048,Female,0,Yes,No,14,Yes,No phone service,DSL,No internet service,No internet service,No internet service,No,No internet service,No,One year,Yes,Electronic check,63.36,869.65,No
CUST00049,Female,0,No,No,36,No,Yes,No,No internet service,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,100.69,3708.12,No
CUST00050,Male,0,No,No,12,Yes,No phone service,DSL,No internet service,No,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,49.39,635.51,No
CUST00051,Female,1,Yes,No,7,Yes,Yes,Fiber optic,No internet service,Yes,No,No internet service,Yes,No,One year,Yes,Credit card (automatic),45.39,296.54,No
CUST00052,Male,0,No,Yes,4,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No internet service,No,No,One year,No,Credit card (automatic),82.0,352.31,No
CUST00053,Female,0,No,Yes,59,Yes,No phone service,No,No,No,Yes,Yes,No internet service,No internet service,Two year,Yes,Credit card (automatic),73.56,4466.46,No
CUST00054,Male,1,Yes,No,0,Yes,Yes,DSL,No internet service,Yes,No,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic),26.02,37.71,Yes
CUST00055,Female,0,Yes,Yes,35,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,28.15,1014.33,No
CUST00056,Female,0,Yes,No,34,No,No,No,No,No,Yes,No internet service,No,No internet service,One year,No,Bank transfer (automatic),84.3,2836.46,No
CUST00057,Male,0,No,Yes,65,Yes,No phone service,DSL,Yes,No,No,No internet service,No,No,Two year,No,Electronic check,66.51,4415.38,No
CUST00058,Male,0,Yes,Yes,62,Yes,No,No,No internet service,No,Yes,No internet service,Yes,No internet service,Two year,No,Electronic check,117.1,7326.1,No
CUST00059,Male,0,No,Yes,22,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,No,Mailed check,87.85,1903.42,No
CUST00060,Male,0,No,No,8,Yes,No,No,No internet service,No,No,No internet service,No,No internet service,Two year,Yes,Electronic check,21.01,262.1,No
CUST00061,Male,0,No,Yes,33,No,No phone service,DSL,No internet service,No,No internet service,No,No,Yes,One year,No,Credit card (automatic),68.1,2255.54,No
CUST00062,Male,0,No,No,45,Yes,No phone service,DSL,No,No internet service,No,Yes,No internet service,Yes,Two year,No,Credit card (automatic),61.44,2722.78,No
CUST00063,Male,0,No,Yes,3,Yes,Yes,Fiber optic,No,No internet service,Yes,No internet service,No,No internet service,Month-to-month,No,Credit card (automatic),30.67,62.08,Yes
CUST00064,Male,0,No,Yes,29,Yes,No phone service,DSL,No internet service,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,112.32,3301.17,Yes
CUST00065,Female,0,No,Yes,71,Yes,No,DSL,No,No,Yes,No,No internet service,Yes,One year,No,Mailed check,100.5,7093.82,No
CUST00066,Female,0,Yes,Yes,2,No,No phone service,Fiber optic,Yes,No internet service,Yes,No,No internet service,Yes,Two year,Yes,Bank transfer (automatic),43.01,30.86,No
CUST00067,Male,0,Yes,Yes,13,Yes,Yes,No,No,No internet service,No,Yes,Yes,No internet service,Two year,No,Electronic check,45.6,570.86,No
CUST00068,Female,1,No,No,59,No,No phone service,Fiber optic,No,No internet service,Yes,Yes,No,No,Two year,Yes,Electronic check,23.2,1354.32,No
CUST00069,Female,0,No,No,44,Yes,No,No,Yes,No,No internet service,No,No internet service,No,Two year,Yes,Credit card (automatic),49.67,2151.81,No
CUST00070,Female,0,Yes,Yes,33,No,Yes,Fiber optic,No,Yes,Yes,Yes,No internet service,No internet service,One year,No,Credit card (automatic),78.46,2566.48,No
CUST00071,Female,0,No,Yes,44,No,No,No,No internet service,Yes,No,No,No internet service,No,Two year,No,Credit card (automatic),62.08,2777.37,No
CUST00072,Male,0,Yes,Yes,60,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No,No,No internet service,One year,Yes,Credit card (automatic),116.93,7028.63,No
CUST00073,Female,0,Yes,Yes,15,Yes,No phone service,No,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.61,358.37,No
CUST00074,Male,1,Yes,No,65,No,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No internet service,Two year,Yes,Credit card (automatic),79.14,5122.71,No
CUST00075,Female,1,No,Yes,39,No,Yes,No,No internet service,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,105.83,4120.79,Yes
CUST00076,Female,0,No,No,16,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,Yes,One year,Yes,Mailed check,68.07,1085.4,No
CUST00077,Female,1,Yes,Yes,33,No,No,DSL,No,No internet service,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),20.3,666.39,No
CUST00078,Male,0,Yes,No,15,No,No phone service,No,No internet service,Yes,No,Yes,No internet service,No internet service,One year,No,Electronic check,44.28,708.21,No
CUST00079,Female,0,Yes,Yes,59,No,Yes,Fiber optic,No,No internet service,No,No internet service,No internet service,Yes,Two year,Yes,Credit card (automatic),52.38,3100.27,No
CUST00080,Male,0,Yes,Yes,65,Yes,No phone service,No,Yes,No,Yes,No internet service,No internet service,Yes,Two year,No,Bank transfer (automatic),116.6,7590.32,No
CUST00081,Female,1,Yes,No,65,No,Yes,No,No internet service,Yes,No internet service,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),111.18,7298.04,No
CUST00082,Male,0,No,Yes,12,No,No phone service,Fiber optic,No internet service,Yes,Yes,No internet service,No,No internet service,Month-to-month,No,Electronic check,114.92,1472.87,Yes
CUST00083,Female,0,Yes,Yes,55,No,No phone service,No,Yes,No,No internet service,No,No internet service,No internet service,One year,Yes,Mailed check,102.58,5580.35,No
CUST00084,Male,0,No,Yes,30,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),55.16,1575.85,No
CUST00085,Male,0,Yes,No,33,Yes,Yes,DSL,No internet service,No,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),110.59,3632.0,No
CUST00086,Female,0,No,Yes,38,No,No,No,Yes,No,No internet service,No,No,No,Month-to-month,Yes,Mailed check,118.17,4529.62,Yes
CUST00087,Male,0,No,Yes,66,Yes,Yes,DSL,No,No internet service,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),55.01,3649.46,No
CUST00088,Female,0,No,No,7,No,No phone service,No,Yes,No,No,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),46.06,375.12,Yes
CUST00089,Female,0,No,No,54,Yes,Yes,No,Yes,No internet service,No,No,Yes,No internet service,Month-to-month,No,Mailed check,74.69,4013.64,No
CUST00090,Female,0,No,No,26,Yes,No,No,No internet service,No internet service,No,No,No internet service,No internet service,One year,No,Bank transfer (automatic),38.72,908.88,No
CUST00091,Female,0,No,Yes,52,No,No,Fiber optic,No,No,No,No internet service,No,Yes,Month-to-month,No,Mailed check,23.26,1141.18,No
CUST00092,Female,0,Yes,Yes,38,Yes,No,DSL,Yes,No internet service,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),114.58,4382.28,No
CUST00093,Female,0,No,Yes,64,Yes,Yes,No,No,No,No internet service,No internet service,No internet service,No,Two year,No,Bank transfer (automatic),112.57,7257.57,No
CUST00094,Female,1,Yes,No,16,Yes,No,Fiber optic,No,No internet service,Yes,Yes,No internet service,No,Two year,No,Electronic check,36.27,484.98,No
CUST00095,Female,0,No,Yes,29,No,No,No,No,Yes,Yes,No,No internet service,No internet service,Two year,No,Bank transfer (automatic),60.77,1832.86,No
CUST00096,Female,0,No,Yes,52,Yes,No,Fiber optic,No internet service,No internet service,Yes,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),103.1,5384.43,Yes
CUST00097,Female,0,Yes,No,12,Yes,No phone service,No,Yes,No internet service,No,No internet service,Yes,No,Two year,Yes,Credit card (automatic),86.1,1029.68,No
CUST00098,Female,0,No,No,20,No,No phone service,DSL,No internet service,No,Yes,No internet service,No internet service,No internet service,One year,No,Electronic check,59.48,1158.26,No
CUST00099,Male,0,Yes,No,18,Yes,Yes,DSL,Yes,No internet service,No internet service,No internet service,Yes,No,Two year,No,Electronic check,94.42,1779.12,No
CUST00100,Male,0,Yes,No,52,Yes,Yes,No,Yes,Yes,Yes,No internet service,No internet service,Yes,One year,No,Electronic check,109.7,5749.25,No
CUST00101,Female,0,Yes,No,18,Yes,No,Fiber optic,No internet service,Yes,No,No,Yes,No,One year,Yes,Credit card (automatic),112.62,2051.7,No
CUST00102,Female,0,Yes,Yes,56,Yes,No phone service,No,No,No internet service,No internet service,Yes,Yes,No internet service,Two year,No,Credit card (automatic),57.88,3204.71,No
CUST00103,Female,0,No,No,24,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,No internet service,Yes,Two year,Yes,Credit card (automatic),37.36,977.35,No
CUST00104,Female,0,No,Yes,30,No,No,No,Yes,Yes,No internet service,Yes,No internet service,No,Month-to-month,No,Credit card (automatic),111.28,3339.92,Yes
CUST00105,Female,0,Yes,Yes,54,No,No phone service,Fiber optic,No internet service,No,No internet service,Yes,No internet service,Yes,One year,No,Credit card (automatic),29.26,1594.99,No
CUST00106,Female,0,No,No,22,Yes,No phone service,DSL,No,Yes,Yes,No internet service,No internet service,Yes,Two year,No,Electronic check,92.17,2031.39,No
CUST00107,Female,0,No,No,31,Yes,No phone service,No,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,34.05,1017.27,No
CUST00108,Female,0,Yes,No,61,Yes,Yes,DSL,Yes,No internet service,No internet service,No,No internet service,No,Two year,No,Credit card (automatic),58.94,3611.33,No
CUST00109,Male,0,No,Yes,9,No,Yes,DSL,Yes,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,Mailed check,61.16,585.29,No
CUST00110,Female,0,Yes,No,71,No,No,No,No internet service,Yes,No,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),35.88,2525.4,No
CUST00111,Male,0,Yes,No,53,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),112.27,5962.01,No
CUST00112,Female,0,No,No,51,Yes,No phone service,Fiber optic,No,Yes,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),20.27,1036.69,No
CUST00113,Female,0,No,No,19,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),109.38,2123.98,Yes
CUST00114,Male,1,No,No,31,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Two year,No,Mailed check,108.38,3344.83,No
CUST00115,Female,1,Yes,Yes,13,No,No,Fiber optic,No,Yes,Yes,No internet service,Yes,No internet service,Two year,No,Bank transfer (automatic),51.7,683.43,No
CUST00116,Male,0,Yes,Yes,49,No,No,Fiber optic,No internet service,Yes,Yes,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),90.43,4452.93,Yes
CUST00117,Female,0,No,Yes,27,Yes,Yes,No,No internet service,No internet service,No internet service,Yes,No,No internet service,Month-to-month,Yes,Mailed check,45.28,1206.48,No
CUST00118,Female,1,No,No,52,No,No,Fiber optic,Yes,No,No internet service,Yes,No internet service,No,One year,Yes,Bank transfer (automatic),95.88,4944.49,No
CUST00119,Male,0,No,No,23,Yes,No,DSL,Yes,No internet service,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),76.11,1717.4,No
CUST00120,Female,0,No,No,21,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,No internet service,Yes,One year,Yes,Mailed check,50.02,1070.88,No
CUST00121,Male,0,Yes,Yes,29,Yes,No phone service,DSL,No internet service,No,No,No internet service,Yes,Yes,One year,Yes,Mailed check,60.02,1728.81,No
CUST00122,Female,0,No,No,62,Yes,No phone service,No,No,No,No,No,No,No internet service,Month-to-month,Yes,Electronic check,88.99,5504.95,Yes
CUST00123,Male,0,Yes,No,3,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No internet service,Two year,No,Electronic check,110.61,362.04,Yes
CUST00124,Male,0,Yes,No,58,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,Mailed check,33.07,1969.03,No
CUST00125,Female,0,No,Yes,7,No,No,No,Yes,No,No,No,No internet service,No internet service,Two year,Yes,Mailed check,77.14,599.57,No
CUST00126,Female,0,No,No,11,No,No phone service,Fiber optic,Yes,No internet service,No internet service,Yes,No,No internet service,One year,No,Electronic check,45.37,468.44,No
CUST00127,Male,0,No,Yes,30,No,Yes,No,Yes,No internet service,No internet service,No,No internet service,No,Month-to-month,No,Credit card (automatic),100.14,3050.34,Yes
CUST00128,Female,0,Yes,No,33,No,No phone service,No,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),27.02,995.91,No
CUST00129,Female,0,No,Yes,48,Yes,No,Fiber optic,Yes,Yes,No internet service,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),88.9,4273.5,Yes
CUST00130,Female,0,No,Yes,56,No,No,Fiber optic,No,No internet service,No,Yes,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),37.49,2095.77,No
CUST00131,Male,1,Yes,Yes,25,No,Yes,No,Yes,No,Yes,No internet service,Yes,Yes,One year,Yes,Mailed check,79.64,1976.91,No
CUST00132,Male,0,No,No,17,No,No phone service,No,No,Yes,Yes,No internet service,No,No internet service,Month-to-month,No,Credit card (automatic),103.57,1707.5,Yes
CUST00133,Male,0,Yes,No,37,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No,No internet service,No internet service,One year,Yes,Electronic check,95.51,3575.98,No
CUST00134,Male,0,No,Yes,49,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),95.29,4665.77,Yes
CUST00135,Male,0,Yes,Yes,7,Yes,No,Fiber optic,No,No internet service,Yes,No internet service,No internet service,Yes,One year,No,Credit card (automatic),71.78,494.97,No
CUST00136,Male,0,No,No,40,No,Yes,No,No internet service,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),109.07,4397.17,Yes
CUST00137,Male,0,No,No,5,Yes,No phone service,Fiber optic,No internet service,No,No,Yes,No,Yes,One year,Yes,Electronic check,78.81,433.02,No
CUST00138,Male,0,Yes,Yes,68,Yes,No,DSL,No internet service,No internet service,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),111.75,7568.96,Yes
CUST00139,Male,0,Yes,No,43,No,No,Fiber optic,No,No internet service,Yes,No,No internet service,Yes,Month-to-month,No,Electronic check,74.65,3181.1,No
CUST00140,Female,0,No,No,63,Yes,No,No,Yes,No,Yes,No internet service,Yes,No internet service,One year,No,Mailed check,70.6,4416.73,No
CUST00141,Male,0,Yes,No,28,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,No internet service,No internet service,One year,Yes,Bank transfer (automatic),42.24,1288.4,No
CUST00142,Female,0,Yes,No,27,No,No phone service,No,No,No internet service,No internet service,No,No,No,Two year,No,Electronic check,74.48,2084.82,No
CUST00143,Female,0,Yes,Yes,10,No,No phone service,No,Yes,No,No,No,Yes,Yes,One year,Yes,Mailed check,34.06,375.95,No
CUST00144,Female,0,Yes,No,64,No,No phone service,Fiber optic,No,No,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,106.97,6827.31,Yes
CUST00145,Male,1,No,No,18,Yes,No phone service,No,Yes,Yes,No,No,No internet service,No,Month-to-month,Yes,Mailed check,87.59,1563.77,Yes
CUST00146,Male,0,No,Yes,8,Yes,No phone service,No,No internet service,Yes,Yes,Yes,No internet service,No internet service,One year,No,Credit card (automatic),119.36,973.05,Yes
CUST00147,Male,0,Yes,Yes,26,Yes,No phone service,DSL,Yes,Yes,No,Yes,Yes,No,Two year,No,Credit card (automatic),29.21,869.92,No
CUST00148,Male,0,Yes,No,33,No,No phone service,DSL,No,No internet service,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),44.07,1468.75,No
CUST00149,Female,0,Yes,No,43,Yes,No phone service,DSL,No,No,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),107.72,4657.4,Yes
CUST00150,Male,0,Yes,No,67,Yes,No,DSL,No internet service,No,No,No internet service,No,No,Month-to-month,No,Mailed check,59.53,3861.06,No
CUST00151,Male,0,No,No,14,Yes,No phone service,No,No,No,Yes,Yes,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),66.63,945.7,No
CUST00152,Male,0,No,Yes,50,Yes,Yes,Fiber optic,Yes,Yes,No,No,No internet service,No internet service,One year,No,Credit card (automatic),106.07,5233.81,No
CUST00153,Male,0,Yes,Yes,12,Yes,No,No,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),72.18,841.81,No
CUST00154,Male,0,Yes,Yes,48,Yes,No phone service,No,No internet service,No internet service,No,No,No,Yes,Month-to-month,No,Electronic check,39.35,1891.14,No
CUST00155,Female,0,Yes,No,69,Yes,Yes,No,No,Yes,No internet service,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),109.2,7519.69,Yes
CUST00156,Male,0,No,No,55,No,No phone service,Fiber optic,No internet service,Yes,No,No internet service,Yes,Yes,One year,No,Mailed check,23.11,1239.25,No
CUST00157,Female,0,Yes,No,50,No,Yes,DSL,Yes,Yes,No,Yes,Yes,No internet service,One year,Yes,Mailed check,109.54,5445.65,No
CUST00158,Male,0,No,No,36,No,Yes,No,No internet service,Yes,No internet service,Yes,Yes,No internet service,Two year,No,Bank transfer (automatic),25.05,891.25,No
CUST00159,Female,0,Yes,Yes,16,Yes,Yes,No,No,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,No,Credit card (automatic),86.58,1372.54,Yes
CUST00160,Male,0,No,Yes,57,Yes,Yes,DSL,No internet service,No,No internet service,Yes,Yes,Yes,Month-to-month,No,Mailed check,27.17,1549.7,No
CUST00161,Male,1,Yes,No,28,No,No,No,No,No internet service,No internet service,No,No,Yes,Two year,No,Mailed check,90.62,2534.64,No
CUST00162,Female,0,No,Yes,32,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),23.4,812.74,No
CUST00163,Female,0,Yes,No,59,No,Yes,No,Yes,No internet service,Yes,Yes,No,No,Two year,No,Credit card (automatic),104.25,6048.27,No
CUST00164,Female,0,Yes,No,54,Yes,No phone service,No,Yes,Yes,No,Yes,No internet service,No internet service,Two year,No,Mailed check,66.59,3608.11,No
CUST00165,Male,0,Yes,Yes,9,Yes,Yes,DSL,Yes,Yes,Yes,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),29.35,267.7,Yes
CUST00166,Female,0,No,No,46,No,No,No,No,No internet service,No,Yes,Yes,No,One year,No,Bank transfer (automatic),90.68,4164.57,No
CUST00167,Male,0,Yes,No,22,No,No phone service,No,No internet service,No internet service,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),68.93,1481.17,No
CUST00168,Male,0,No,Yes,20,No,No,Fiber optic,No,No,No internet service,No,No internet service,No,One year,No,Electronic check,39.09,774.31,No
CUST00169,Female,0,No,No,12,No,No,DSL,Yes,No internet service,No internet service,Yes,No internet service,No internet service,One year,No,Credit card (automatic),21.57,177.16,No
CUST00170,Female,0,Yes,No,32,No,No phone service,DSL,Yes,No internet service,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,61.8,1987.94,No
CUST00171,Male,1,Yes,Yes,23,Yes,Yes,Fiber optic,No internet service,No,Yes,Yes,No internet service,No internet service,Two year,No,Electronic check,28.56,676.28,No
CUST00172,Male,0,Yes,No,10,Yes,Yes,No,Yes,No,No,Yes,No internet service,No,Two year,No,Bank transfer (automatic),29.42,259.0,No
CUST00173,Female,0,No,Yes,16,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,46.73,844.71,No
