customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,ChurnProbability,Customer_Status
CUST00099,Male,0,Yes,No,18,Yes,Yes,DSL,Yes,No internet service,No internet service,No internet service,Yes,No,Two year,No,Electronic check,94.42,1779.12,0.07327085,Not At Risk
CUST00100,Male,0,Yes,No,52,Yes,Yes,No,Yes,Yes,Yes,No internet service,No internet service,Yes,One year,No,Electronic check,109.7,5749.25,0.055825867,Not At Risk
CUST00101,Female,0,Yes,No,18,Yes,No,Fiber optic,No internet service,Yes,No,No,Yes,No,One year,Yes,Credit card (automatic),112.62,2051.7,0.10771691,Not At Risk
CUST00102,Female,0,Yes,Yes,56,Yes,No phone service,No,No,No internet service,No internet service,Yes,Yes,No internet service,Two year,No,Credit card (automatic),57.88,3204.71,0.0146352835,Not At Risk
CUST00103,Female,0,No,No,24,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,No internet service,Yes,Two year,Yes,Credit card (automatic),37.36,977.35,0.020515507,Not At Risk
CUST00105,Female,0,Yes,Yes,54,No,No phone service,Fiber optic,No internet service,No,No internet service,Yes,No internet service,Yes,One year,No,Credit card (automatic),29.26,1594.99,0.0728381,Not At Risk
CUST00106,Female,0,No,No,22,Yes,No phone service,DSL,No,Yes,Yes,No internet service,No internet service,Yes,Two year,No,Electronic check,92.17,2031.39,0.033906132,Not At Risk
CUST00107,Female,0,No,No,31,Yes,No phone service,No,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,34.05,1017.27,0.07207901,Not At Risk
CUST00108,Female,0,Yes,No,61,Yes,Yes,DSL,Yes,No internet service,No internet service,No,No internet service,No,Two year,No,Credit card (automatic),58.94,3611.33,0.019424351,Not At Risk
CUST00109,Male,0,No,Yes,9,No,Yes,DSL,Yes,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,Mailed check,61.16,585.29,0.020947233,Not At Risk
CUST00110,Female,0,Yes,No,71,No,No,No,No internet service,Yes,No,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),35.88,2525.4,0.0050948076,Not At Risk
CUST00111,Male,0,Yes,No,53,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),112.27,5962.01,0.21791424,Not At Risk
CUST00112,Female,0,No,No,51,Yes,No phone service,Fiber optic,No,Yes,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),20.27,1036.69,0.019411944,Not At Risk
CUST00114,Male,1,No,No,31,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Two year,No,Mailed check,108.38,3344.83,0.08254919,Not At Risk
CUST00115,Female,1,Yes,Yes,13,No,No,Fiber optic,No,Yes,Yes,No internet service,Yes,No internet service,Two year,No,Bank transfer (automatic),51.7,683.43,0.058029987,Not At Risk
CUST00117,Female,0,No,Yes,27,Yes,Yes,No,No internet service,No internet service,No internet service,Yes,No,No internet service,Month-to-month,Yes,Mailed check,45.28,1206.48,0.07867308,Not At Risk
CUST00118,Female,1,No,No,52,No,No,Fiber optic,Yes,No,No internet service,Yes,No internet service,No,One year,Yes,Bank transfer (automatic),95.88,4944.49,0.042771943,Not At Risk
CUST00119,Male,0,No,No,23,Yes,No,DSL,Yes,No internet service,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),76.11,1717.4,0.10068745,Not At Risk
CUST00120,Female,0,No,No,21,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,No internet service,Yes,One year,Yes,Mailed check,50.02,1070.88,0.15528442,Not At Risk
CUST00121,Male,0,Yes,Yes,29,Yes,No phone service,DSL,No internet service,No,No,No internet service,Yes,Yes,One year,Yes,Mailed check,60.02,1728.81,0.192663,Not At Risk
CUST00124,Male,0,Yes,No,58,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,Mailed check,33.07,1969.03,0.026262427,Not At Risk
CUST00125,Female,0,No,Yes,7,No,No,No,Yes,No,No,No,No internet service,No internet service,Two year,Yes,Mailed check,77.14,599.57,0.014994719,Not At Risk
CUST00126,Female,0,No,No,11,No,No phone service,Fiber optic,Yes,No internet service,No internet service,Yes,No,No internet service,One year,No,Electronic check,45.37,468.44,0.112885594,Not At Risk
CUST00128,Female,0,Yes,No,33,No,No phone service,No,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),27.02,995.91,0.16717461,Not At Risk
CUST00130,Female,0,No,Yes,56,No,No,Fiber optic,No,No internet service,No,Yes,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),37.49,2095.77,0.017063743,Not At Risk
CUST00131,Male,1,Yes,Yes,25,No,Yes,No,Yes,No,Yes,No internet service,Yes,Yes,One year,Yes,Mailed check,79.64,1976.91,0.20673662,Not At Risk
CUST00133,Male,0,Yes,No,37,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No,No internet service,No internet service,One year,Yes,Electronic check,95.51,3575.98,0.17048295,Not At Risk
CUST00135,Male,0,Yes,Yes,7,Yes,No,Fiber optic,No,No internet service,Yes,No internet service,No internet service,Yes,One year,No,Credit card (automatic),71.78,494.97,0.24301389,Not At Risk
CUST00137,Male,0,No,No,5,Yes,No phone service,Fiber optic,No internet service,No,No,Yes,No,Yes,One year,Yes,Electronic check,78.81,433.02,0.29867768,Not At Risk
CUST00139,Male,0,Yes,No,43,No,No,Fiber optic,No,No internet service,Yes,No,No internet service,Yes,Month-to-month,No,Electronic check,74.65,3181.1,0.41026106,Not At Risk
CUST00140,Female,0,No,No,63,Yes,No,No,Yes,No,Yes,No internet service,Yes,No internet service,One year,No,Mailed check,70.6,4416.73,0.013979615,Not At Risk
CUST00141,Male,0,Yes,No,28,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,No internet service,No internet service,One year,Yes,Bank transfer (automatic),42.24,1288.4,0.05150184,Not At Risk
CUST00142,Female,0,Yes,No,27,No,No phone service,No,No,No internet service,No internet service,No,No,No,Two year,No,Electronic check,74.48,2084.82,0.07731102,Not At Risk
CUST00143,Female,0,Yes,Yes,10,No,No phone service,No,Yes,No,No,No,Yes,Yes,One year,Yes,Mailed check,34.06,375.95,0.12098342,Not At Risk
CUST00147,Male,0,Yes,Yes,26,Yes,No phone service,DSL,Yes,Yes,No,Yes,Yes,No,Two year,No,Credit card (automatic),29.21,869.92,0.017124254,Not At Risk
CUST00148,Male,0,Yes,No,33,No,No phone service,DSL,No,No internet service,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),44.07,1468.75,0.04844677,Not At Risk
CUST00150,Male,0,Yes,No,67,Yes,No,DSL,No internet service,No,No,No internet service,No,No,Month-to-month,No,Mailed check,59.53,3861.06,0.045808256,Not At Risk
CUST00151,Male,0,No,No,14,Yes,No phone service,No,No,No,Yes,Yes,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),66.63,945.7,0.014906413,Not At Risk
CUST00152,Male,0,No,Yes,50,Yes,Yes,Fiber optic,Yes,Yes,No,No,No internet service,No internet service,One year,No,Credit card (automatic),106.07,5233.81,0.07624536,Not At Risk
CUST00153,Male,0,Yes,Yes,12,Yes,No,No,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),72.18,841.81,0.093654096,Not At Risk
CUST00154,Male,0,Yes,Yes,48,Yes,No phone service,No,No internet service,No internet service,No,No,No,Yes,Month-to-month,No,Electronic check,39.35,1891.14,0.07029868,Not At Risk
CUST00156,Male,0,No,No,55,No,No phone service,Fiber optic,No internet service,Yes,No,No internet service,Yes,Yes,One year,No,Mailed check,23.11,1239.25,0.31873432,Not At Risk
CUST00157,Female,0,Yes,No,50,No,Yes,DSL,Yes,Yes,No,Yes,Yes,No internet service,One year,Yes,Mailed check,109.54,5445.65,0.040233828,Not At Risk
CUST00158,Male,0,No,No,36,No,Yes,No,No internet service,Yes,No internet service,Yes,Yes,No internet service,Two year,No,Bank transfer (automatic),25.05,891.25,0.025982337,Not At Risk
CUST00160,Male,0,No,Yes,57,Yes,Yes,DSL,No internet service,No,No internet service,Yes,Yes,Yes,Month-to-month,No,Mailed check,27.17,1549.7,0.086429834,Not At Risk
CUST00161,Male,1,Yes,No,28,No,No,No,No,No internet service,No internet service,No,No,Yes,Two year,No,Mailed check,90.62,2534.64,0.025198756,Not At Risk
CUST00162,Female,0,No,Yes,32,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),23.4,812.74,0.27895215,Not At Risk
CUST00163,Female,0,Yes,No,59,No,Yes,No,Yes,No internet service,Yes,Yes,No,No,Two year,No,Credit card (automatic),104.25,6048.27,0.07612959,Not At Risk
CUST00164,Female,0,Yes,No,54,Yes,No phone service,No,Yes,Yes,No,Yes,No internet service,No internet service,Two year,No,Mailed check,66.59,3608.11,0.008353349,Not At Risk
CUST00166,Female,0,No,No,46,No,No,No,No,No internet service,No,Yes,Yes,No,One year,No,Bank transfer (automatic),90.68,4164.57,0.029221473,Not At Risk
CUST00167,Male,0,Yes,No,22,No,No phone service,No,No internet service,No internet service,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),68.93,1481.17,0.050861128,Not At Risk
CUST00168,Male,0,No,Yes,20,No,No,Fiber optic,No,No,No internet service,No,No internet service,No,One year,No,Electronic check,39.09,774.31,0.106739126,Not At Risk
CUST00169,Female,0,No,No,12,No,No,DSL,Yes,No internet service,No internet service,Yes,No internet service,No internet service,One year,No,Credit card (automatic),21.57,177.16,0.107009955,Not At Risk
CUST00170,Female,0,Yes,No,32,No,No phone service,DSL,Yes,No internet service,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,61.8,1987.94,0.1285495,Not At Risk
CUST00171,Male,1,Yes,Yes,23,Yes,Yes,Fiber optic,No internet service,No,Yes,Yes,No internet service,No internet service,Two year,No,Electronic check,28.56,676.28,0.050396334,Not At Risk
CUST00172,Male,0,Yes,No,10,Yes,Yes,No,Yes,No,No,Yes,No internet service,No,Two year,No,Bank transfer (automatic),29.42,259.0,0.021245632,Not At Risk
CUST00173,Female,0,No,Yes,16,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,46.73,844.71,0.2501593,Not At Risk
CUST00174,Female,0,Yes,No,67,No,Yes,DSL,Yes,No internet service,No,No,No internet service,Yes,One year,Yes,Mailed check,83.05,5558.33,0.12224351,Not At Risk
CUST00175,Female,1,No,Yes,46,No,No phone service,No,No internet service,No,No internet service,No internet service,No,Yes,Two year,Yes,Mailed check,72.99,3359.74,0.025285847,Not At Risk
CUST00176,Male,0,No,Yes,24,No,No phone service,No,No,Yes,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Credit card (automatic),26.9,712.39,0.08457088,Not At Risk
CUST00178,Male,1,Yes,No,11,No,No,No,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),108.72,1139.75,0.0701565,Not At Risk
CUST00179,Male,1,Yes,Yes,36,No,No phone service,DSL,Yes,No internet service,No,Yes,No internet service,No internet service,Month-to-month,Yes,Electronic check,45.92,1624.26,0.13310555,Not At Risk
CUST00180,Male,1,Yes,Yes,41,Yes,Yes,No,No internet service,Yes,No internet service,No,No,No,Two year,No,Bank transfer (automatic),32.23,1316.3,0.025944497,Not At Risk
CUST00181,Male,0,Yes,Yes,16,Yes,No,No,Yes,No internet service,No internet service,No,No internet service,No,Two year,No,Electronic check,114.24,1790.7,0.03494758,Not At Risk
CUST00182,Female,0,Yes,Yes,47,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,Yes,No,Yes,Month-to-month,No,Mailed check,66.11,3149.48,0.16420941,Not At Risk
CUST00183,Male,0,No,Yes,27,Yes,Yes,No,Yes,Yes,No internet service,Yes,No,Yes,Two year,No,Mailed check,51.12,1337.59,0.0147648,Not At Risk
CUST00184,Male,1,No,No,40,Yes,No phone service,Fiber optic,No,No,Yes,No,No internet service,No,Month-to-month,No,Mailed check,69.04,2824.93,0.30601972,Not At Risk
CUST00185,Male,0,No,No,46,No,No phone service,No,Yes,No internet service,No,Yes,Yes,No internet service,Two year,No,Mailed check,97.27,4505.6,0.04679649,Not At Risk
CUST00186,Female,0,Yes,No,17,No,Yes,DSL,No internet service,Yes,No,Yes,No internet service,No internet service,One year,Yes,Mailed check,36.84,684.48,0.09486248,Not At Risk
CUST00187,Male,0,No,No,70,No,Yes,DSL,Yes,No internet service,No internet service,Yes,Yes,No,Two year,No,Electronic check,96.75,6730.07,0.0893221,Not At Risk
CUST00188,Male,0,No,No,12,No,No,No,No,No,Yes,No,Yes,No internet service,One year,No,Mailed check,94.94,1120.11,0.12936643,Not At Risk
CUST00189,Female,0,No,No,12,No,No phone service,No,Yes,No,No,No internet service,No internet service,No,One year,Yes,Electronic check,73.93,932.06,0.11276454,Not At Risk
